Line,Movie
"[ Strains, Grunts ]",A Bug's Life
"Flik: Hey! Hey, wait for me! (He runs up to the offering stone.) Get the food to the offering stone, then into the anthill!",A Bug's Life
"Flik: AAAAAAAAH! NO! NO! NO! NO! NO! NO! NO! NO! NO! NO! NO! (Flik grabs the leaf's stem to save the food, but his attempts are futile. Every single piece of food falls off. Looking over the edge, Flik watches in horror as the very last piece falls into the creek.) Oh, no! (Flik sprints back to the anthill.) PRINCESS ATTA! PRINCESS ATTA! PRINCESS ATTAAAAAAAAAAAAAA! (Flik runs into the anthill just as the buzzing grows louder)",A Bug's Life
"Flik: Excuse me! Excuse me! Pardon me. Pardon me! Excuse me. Coming through. Sorry. Coming through. (Flik runs through the crowd to make his way to Atta) Princess Atta, there's something I need to tell you.",A Bug's Life
"Hopper: Listen, if you don't keep your end of the bargain, then I can't guarantee your safety. And there are insects out there that will take advantage of you. Someone could get hurt. [snaps his fingers and calls out Thumper who scares Dot so she runs away but is caught by Hopper] What's the matter? You scared of grasshoppers?",A Bug's Life
"- Go? Okay, through the tunnel-- - Whoa! - [ Bell Dings ] - [ Chuckling ] - Whoa! - [ Screams ] - P.T! - Oh, no! - Oh! - [ Whimpering ] - Water! We need some water! - Water, water, water! - [ Laughing ] - [ Grunting ] Get me outta here! [ Groans ] [ Laughs ] - [ Laughing ] - Wow! - It's the web. I'm sorry. - You're all fired. - We got the water! - Here we come, P.T! Whoo! Whoa! Burn 'im again!",A Bug's Life
- What's going on in there? [ All Screaming ] Help! Help! Get me out! [ Grunting ] Wow.,A Bug's Life
"- Whoa, you're vicious! Hold on, Mr. Ant. Amazing! This is too good to be true! [ Laughs ] Ooh! So, you see, it was my fault that Hopper's coming back. But then, Princess Atta-- boy, is she one in a million-- she let me go out and find you. And after seeing you fight off those flies-- Boy, are those grasshoppers in for a surprise! [ Laughing ] [ Laughing ] [ Chattering In Foreign Language ] [ Grunts ] [ Moans ]",A Bug's Life
"Heimlich: Boy, he runs fast for a little guy.",A Bug's Life
- [ Grunts ],A Bug's Life
[ Grunting ],A Bug's Life
"Didn't you hear Hopper? After the ants pick all the food, he's gonna squish the queen to remind 'em who's boss. Then she's dead. They cry--boo-hoo-- we go home. End of story. Oh! Cool. I love our job. Stay here. I'm gonna get help. [ Grunts ] [ Panting ] Ooh! - [ Snarling ] - [ Screaming ] - [ Grunting ] - [ Panting ] - [ Roaring ] - [ Grunting ] [ Screeching ] [ Screaming ] [ Grunting ] [ Panting ] Come on, wings, fly. Fly! - [ Roaring ] - [ Screaming ] [ Screaming Fades ] [ Growling ] [ Screeching ] Yeah! Whoa-oh! [ Panting, Grunting ] [ P.T. Humming, Indistinct ] I'm gonna be rich, rich, rich I'm gonna be rich, rich, rich I'm gonna be the richest flea in the land Ka-ching! The streets'll be paved with golden retrievers I'm rich, rich, rich That's who I am [ P. T. Continues Singing, Indistinct ] - Poor fellow. - Hey, maybe we can cheer him up a bit. Don't worry, Flik. The circus life isn't so bad. - Yes, you can be part of our act. - Here! Like this. Oof! Ahh. Slapstick! Get it? I-I'm a walking stick. [ Laughs Weakly ] Oh, never mind. -[ Dot ] Flik! - Dot? Flik, wait! Wait! Dot, you're flying! What are you doing here? [ Panting ] You... have to go back. Hopper moved into the anthill, and his gang's eating everything! - Oh, no! - Good heavens! And I heard a grasshopper say that when they're finished, Hopper's gonna squish my mom! - Oh, not the queen! - Do something! - How? - [ Rosie ] Come on, you guys, think! - I know. The bird. - Yes, of course. - The bird! That's brilliant. -Ja! - The bird won't work. - What are you talking about? It was your idea. - But you said that everything-- Forget everything I ever told you. All right, Dot? Let's face it. The colony is right. I just make things worse. That bird is a guaranteed failure. [ Sighs ] Just like me.",A Bug's Life
- [ Grunting ] - Blueberries rock! - [ All Cheering ] - All right! - [ Growling ] -[ Drum Rolling ],A Bug's Life
"[ Grunts ] This is it, girls. Get ready to roll. - Huh? It's stuck! -",A Bug's Life
- [ Grunting ],A Bug's Life
"[ Grunting ] [ Screaming ] Hold on! [ Amplified Cawing ] [ Screaming ] Bird! It's a bird! [ All Yelling ] [ Cawing ] - [ Laughing ] - Let's get out of here! Go! Don't let it get me! Don't let it get me! Help me! Aaah! [ Cackling ] [ Dot ] Up, down, up, down.",A Bug's Life
- [ Grunting ] [ Screaming ],A Bug's Life
"[ Screaming ] [ Screaming ] Mmm, boysenberry. Huh? Aah, no, no, no, no, no! [ Grunting ]",A Bug's Life
"[ Screaming ] [ Flik ] There! [ Atta Grunts ] Come on! We've gotta hide! No matter what happens, stay down! Flik, no! What are you doing?",A Bug's Life
"I'm finished! Finally, I'm a beautiful butterfly! [ Grunting ] Mein wings! Oh, they're beautiful!",A Bug's Life
"DORY: You got a problem, buddy? Huh, huh? Do ya, do ya, do ya? [postures to fight] You want a piece of me? Yeah, yeah... Ooh, I'm scared now. Wha-a-at!",Finding Nemo
"DORY: Give it up, old man. You can’t fight evolution, I was built for speed.",Finding Nemo
NIGEL: Your dad’s been fighting the entire ocean looking for you.,Finding Nemo
"NIGEL: Nemo? Hey, he’s that fish! Y’know the one we were talking about! The one that’s been fighting the whole ocean! Hey, I know where your son... Wait! Come back! Stop!",Finding Nemo
[The two clownfish travel to a large patch of sand ? the schoolyard. Chaos reigns as children of many marine species run around playing while their relaxed parents talk and laugh in large groups. Marlin nervously holds tight to Nemo.],Finding Nemo
"DORY: No, it's true. I forget things almost instantly. It runs in my family ? well, I mean, at least I think it does... Uh... hmm... Where are they? [thinks, then notices Marlin; smiles] Can I help you?",Finding Nemo
[Marlin grunts.],Finding Nemo
[Marlin grunts.],Finding Nemo
NEMO: [grunts] Daddy!!! Help me!!!,Finding Nemo
"[Dory's broad actions do the trick, and the sub slides full boar off the cliff... straight towards the two fish. The screaming fish swim for it, but run right into the opposing rock wall... too late. The sub slams into the rock wall, consuming the fish in an explosion of dust. As it settles, Marlin is shocked to find himself and Dory still alive, spared by inches.]",Finding Nemo
NEMO: [grunts] I got it!,Finding Nemo
TURTLE KID 3: Are you running away?,Finding Nemo
"CRUSH: OK, Squirt here will now give you a rundown of proper exiting technique!",Finding Nemo
NEMO: [grunting],Finding Nemo
Dr. Philip Sherman: Crikey? All the animals have gone mad! [grunts],Finding Nemo
"(Mid-sentence, Sulley is attacked by an invisible Randall. Mike continues his apology, obvious.)",Monster's Inc
Sulley: (winded) I'm being attacked!,Monster's Inc
"Mike: No, I'm not attacking you. I'm trying to be honest. Just hear me out. Look, you and I are a team. Nothing is more important than our friendship.",Monster's Inc
"Mike: Come on, fight that plaque! Fight that plaque! Scary monsters don't have plaque!",Monster's Inc
"(The bedroom light clicks off. Soft moonlight illuminates the room. A little boy snuggles into bed as his parents' footsteps fade away from the hall. All is quiet. The closet door creaks open. The boy looks around the room, nervously, eyes growing wide. Suddenly, he spies a tentacle, emerging from the closet. The boy turns away in fear, but a second look reveals it to be just a shirt sleeve. He relaxes back into bed. A dark shadow cuts across the bedspread. From under the bed, a pair of evil red eyes peer out. Rising up behind the boy, preparing to scare his young victim, towers a fearsome monster. The boy sees the monster and screams. Bile, horrified by the child, lets out an even more blood curling scream of his own. He backs away and slips on a soccer ball, which ricochets off the wall and beans him squarely on the face. He stumbles back onto a skateboard, slips, and lands on a pile of jacks. Crazed with pain, Bile runs around the room, squealing and holding his backside.)",Monster's Inc
"(Mike runs to the TV, Sulley slips and falls. On the TV, a bank of lights illuminate and flare brightly.)",Monster's Inc
(The geeks hear Sulley's voice and run up to him.),Monster's Inc
"(The assistants run to their stations and stand at attention. The scarers stride onto the Scare Floor in slow motion. These are the best of the best; the top Scarers, ready for action. Smitty and Needleman, two geeky teenage janitors stand in awe on the sidelines.)",Monster's Inc
Fungus: Aah! A door! Yes! Door! (runs off),Monster's Inc
"(Needleman and Smitty come running, wheeling a portable door shredder.)",Monster's Inc
"(The door shreds with a buzz, spewing out sawdust and leaving only two door knobs. A octopus-like monster named Josh Rivera runs toward a door with his tentacles flying.)",Monster's Inc
Fungus: Aaaaah! (runs off),Monster's Inc
"(Outside of Monsters, Inc., helicopters hover over the factory as large black trucks squeal into the parking lot. On the sides of the trucks is printed: CDA - CHILD DETECTION AGENCY. More CDA agents burst out of the truck and run toward the factory. Roz closes her desk window as CDA agents run by.)",Monster's Inc
"(CDA agents run up to George and tackle him to the ground. Using tongs, they gently remove the sock from his back.)",Monster's Inc
"(Sulley screams, falling over backward. Mary looks up at Sulley and smiles. Sulley tries to get away, but Mary grabs his tail. Panicked, Sulley picks her up with a pair of tongs and places her back in her room, closes the door and spins around... Only to discover that she's standing before him again. Sulley yells. Mary squeals with delight. He picks her up and carries her deep inside the room. Sulley deposits Mary on top of her bed. She giggles. Sulley runs out, but gets caught in a hanging mobile.)",Monster's Inc
"(He falls, trips over a laundry basket, slips on a rug, and is ejected out of Mary's room. Sulley slides out of the room, covered in toys and junk from Mary's room. Suddenly, from the utility hallway, he hears a noise. Sulley scrambles to his feet and takes off. As he runs, a line of toy duckies caught on his tail quack along after him. Randall enters, wheeling a cart of scream cans towards the door. Sulley rushes to the toilets, stuffs Mary's junk into the bowl, and flushes it down.)",Monster's Inc
(Sulley runs to the locker room. He spots an open locker and stuffs the sopping kid stuff in. He closes the locker.),Monster's Inc
"(Sulley runs back past the lockers, panic-stricken. Mary chases him.)",Monster's Inc
"(Mary is distracted, playing with a hardhat. Sulley finds an M.I. gym bag, scoops her up, and zips it closed. Holding the bag at arms length, he runs out of the room. Sulley runs to Mary's door, ready to toss Mary back in. As he reaches to open it, the knob rattles. Sulley's standing in the middle of the Scare Floor. He's thinking of a place to hide. Randall emerges from the door, confused.)",Monster's Inc
"(Randall stops. He sneezes and continues on. As Randall exits the floor, Sulley watches as Mary's door disappears into the vault, and with it all hope of getting rid of Mary. Sulley grabs the gym bag and runs towards the exit.)",Monster's Inc
"Sulley: Hi, guys! What a coincidence, running into you here!",Monster's Inc
"(Mary runs carefree through the chaos in the restaurant, babbling. Mike runs headlong into a pile of take-away boxes. Celia is caught up in the stampede of fleeing patrons.)",Monster's Inc
"(Sulley and Mike run out of the restaurant, leaving the MI gym bag behind. Then they exit as patrons scramble.)",Monster's Inc
"(Monsters run amok, screaming. Celia calls after Mike.)",Monster's Inc
(Sulley and Mike run down the alley.),Monster's Inc
"Misc Monster #2: I tried to run from it, but it picked me up with its mind powers and shook me like a dog.",Monster's Inc
(Sulley tosses the bear across the room. Mary runs after it. She picks up the bear and hugs it. Mike gasps. This has gone too far.),Monster's Inc
"(Mary screams at the top of her lungs. Sulley and Mike cover their ears. The lights in the apartment surge. From outside, the apartment lights pulse brightly, creating a beacon for the helicopters. The circling helicopters head towards them. Mike and Sulley panic. Mike drops the bear and runs to the window, pulling the shade shut.)",Monster's Inc
"(Sulley's yelling frightens the kid, who starts crying again. The lights surge. Mike runs toward Sulley, reaching for the bear.)",Monster's Inc
(Sulley and Mike run up.),Monster's Inc
"(Mary lifts the hood of her costume. Her face is uncomfortably scrunched. Her hands (flippers) grab at her ""lower region."")",Monster's Inc
"(Mary runs up and latches onto Sulley's arm, whimpering.)",Monster's Inc
"Randall: Yeah, well, until we know for sure, we're gonna act like nothing happened, understand? You just get the machine up and running, I'll take care of the kid. And when I find whoever let it out, they're dead!",Monster's Inc
Sulley: (to Mary) Take care of yourself. Try not to run through anymore closets.,Monster's Inc
(Sulley heads off after Boo. Mike runs after him.),Monster's Inc
"(Boo waddles down a hall in her disguise, babbling and roaring happily. She climbs a stack of boxes next to a garbage can. Sulley runs down the hall searching for Boo.)",Monster's Inc
(Boo comes skipping around a corner and run into a group of monster kids. A monster day care kid notices Boo.),Monster's Inc
"(Sulley reacts in horror as the eyestalk and trash moves through a meat grinder, smashing hammers chooping blades, and under a large roller. Finally the machine spits out a compressed cube of garbage. The cube travels down a conveyor belt towards Sulley. Atop the cube, still visible, is Boo's eyestalk. Sulley reaches for it and faints. Mike runs into the lobby, searching for Sulley.)",Monster's Inc
"Mike: Oh, Sulley! (he runs off)",Monster's Inc
"(Sulley runs to Boo. He tosses the cube, which lands on Mike. Sulley picks Boo up, and hugs her tightly.)",Monster's Inc
"Sulley: Boo! Oh, you're all right. I was so worried. I was-- (suddenly stern) Don't you ever run away from me again, young lady. (back to mushy) Oh, but I'm so glad you're safe.",Monster's Inc
(Mike frees his hand. He and Sulley run down the hallway.),Monster's Inc
(Sulley holds Boo as he and Mike run down the hallway.),Monster's Inc
(Boo squirms out of Sulley's arms and runs off under a desk. Sulley tries to calm her.),Monster's Inc
"Floor Manager: Hey, Sulley, where have you been all day? (as Sulley runs past) Sulley? Sulley!",Monster's Inc
"(A nearby albino Fungus points weakly towards the exit. Randall takes off angrily. Fungus collapses. Sulley, Mike and Boo burst from the tool panel doorway and run down the hall.)",Monster's Inc
"(Mike runs through a side exit door, out of the factory. Sulley stops.)",Monster's Inc
(Mike sets Boo down. She immediately runs towards Sulley on the stage.),Monster's Inc
"(And a mighty roar it is. The animatronic screams. By now Boo has reached the stage, close enough to feel the full impact of Sulley's roar. His glaring eyes and snarling teeth are genuinely horrifying. Sulley has become a gruesome, terrible monster. Terrified, Boo's face widens in fear and she runs to hide. The recruits are impressed.)",Monster's Inc
"(A blizzard rages. Sulley and Mike land face down in the snow. Waternoose stands in the doorway, holding Boo. Sulley makes a run for the door, but it's slammed in his face.)",Monster's Inc
"(Sulley desperately runs his hands along the sides of the door, looking for anything that might activate it.)",Monster's Inc
"(Sulley jumps up, runs across the cave, and grabs the Yeti.)",Monster's Inc
"(Before Charlie can finish, George grabs him by the throat, stuffs the sock in his mouth, and tosses him in the door. George relaxes, whistling happily as he walks away. Sulley runs past various monsters in the hallway.)",Monster's Inc
"(Randall glares at Waternoose. Sulley rips off the door to the secret passageway and runs through. Fungus revs up the machine. Waternoose and Randall watch with anticipation as the machine nears Boo's face. In fear, she calls out for Sulley.)",Monster's Inc
"(Sulley picks up Boo's door card key and runs towards the exit. Suddenly, Sulley is knocked back into the room, as if punched by nothing.)",Monster's Inc
(Sulley picks up Boo and Mike and runs out.),Monster's Inc
"(Sulley runs down the hallway, carrying both Boo and Mike.)",Monster's Inc
"(Randall and Fungus coming running down the hall, crashing after Sulley and Mike. They trip over a slow monster pushing a scream cart.)",Monster's Inc
(Sulley and Mike run onto the crowded Scare Floor and head for an empty station.),Monster's Inc
(They swipe Boo's card key and wait anxiously for her door to arrive. Randall and Fungus run out onto the Scare Floor.),Monster's Inc
"(Randall is finally able to push his way through the mob. He heads towards Sulley. Boo's door will not reach their station before Randall. Sulley punches a red panic button on the keypad. An alarm sounds and Boo's door, poised high above the station, heads back into the door vault. Sulley runs toward in the next station over. All the doors are being returned to the vault.)",Monster's Inc
"(It was a beautiful tranquil day in the tropics. Sulley, Mike and Boo run out of a Hawaiian beach house, onto the sand)",Monster's Inc
"(Sulley slides the door open and they run through the room. They emerge again, this time through a door moving along the door track.)",Monster's Inc
Mike: (grunts) Oof! (beat) That was weird.,Monster's Inc
"Mike: (punch-drunk) Ah, duui?",Monster's Inc
"(Mike and Sulley run though the room and exit. Randall runs across the platform and jumps through the door on the ground. Randall lands in a French kid's room, then continues after Mike and Sulley. Randall emerges. The door slams in his face. Mike appears behind it.)",Monster's Inc
"(A pile of partially assembled doors starts to move, as if someone were stacked within it. The top door pops open and Sulley jumps out, followed by Mike. They run to the edge of the platform.)",Monster's Inc
(He runs to the end of the platform which sticks out precariously over a sea of moving doors like the prow of a ship. Sulley climbs up and balances on its metal railing.),Monster's Inc
"(Sulley pushes a button on the door station keypad, picks Boo up and runs inside.)",Monster's Inc
"(Sulley smiles down at Boo. Ready, Sulley opens her door. Boo squeals with delight. Boo runs into the room, happy to be home. She pulls Sulley into her room and hands him various toys, each one with a new sense of excitement.)",Monster's Inc
"(Boo gives Sulley a big hug. Sulley sets her back in bed, then walks slowly to the door. He looks back at her one last time. Boo looks at him sadly from her bed. Sulley turns away, slowly closing the closet door after him. Boo jumps out of bed. She runs to her closet and opens it.)",Monster's Inc
(Celia calls to Mike from a nearby desk. Mike tosses the microphone and runs to her.),Monster's Inc
"Mirage: I represent a top secret division of the government, designing and testing experimental technology, and we have need of your unique abilities. Something has happened at our testing facility. (interrupted by Helen: A highly experimental attack robot...)",The Incredibles
"(But suddenly, the Omnidroid v.X9 attacks him out of nowhere, and it throws him)",The Incredibles
"(It shoots the control glove off, and he starts attacking Syndrome, damaging one of his rocket boots.)",The Incredibles
"    Incrediboy: No, you don’t have to worry about training me. I know all your moves, your crime fighting style, favorite catch phrases, everything! I’m your number one fan!",The Incredibles
[Violet lungs at Dash and they start fighting],The Incredibles
"Bob: You want me to intervene? Okay! I’m intervening, I’m intervening! [He picks up the table, so does Helen, with the kids still fighting.]",The Incredibles
"Mirage: I’ve got to warn you, it’s a learning robot. Every moment you spend fighting it only increases its knowledge of how to beat you.",The Incredibles
"[The robot gets up, and the real fight begins.]",The Incredibles
"Syndrome: It’s bigger! (The Omnidroid throws him again) It’s badder! (And again) Ladies and gentlemen, it's... (And again, this time it grabs Mr. Incredible and it uses its two tentacles to decapitate him, which it almost does) ...too much for Mr. Incredible! (Syndrome reveals himself.) Whoa, Whoa! Whoa! It’s finally ready! (He shuts down the blades of the Omnidroid.) You know, I went through quite a few supers to get it worthy to fight you, but man, it wasn’t good enough!! After you trashed the last one, I had to make some major modifications. Sure it was difficult, but you are worth it. I mean, after all... I am your biggest fan.",The Incredibles
"Bob (Mr. Incredible): You keep trying to pick a fight, but I’m still just happy you’re alive.",The Incredibles
"(The family encounters a group of guards. As they strike a fighting pose, they battle them.)",The Incredibles
"Syndrome: No, no, I’m a new superhero! I’m Syndrome! (He flicks away the truck as it explodes. The omnidroid moves towards him.) All right, stand back! (He starts ''fighting'' his own Omnidroid) Someone needs to teach this hunk of metal... a few manners. (He detaches his robot's arm to pretend that he used his fake strength.) Ha, ha!",The Incredibles
"[Mr. Incredible then watches Sansweet jump down, with the croud's screaming magnified. He runs forward, and catches him just in time as he runs into the building.]",The Incredibles
"[He does, as the bomb drops onto a train track below. It then explodes, destroying a huge chunk of the bridge. A train was approaching, and Mr. Incredible runs forward to it, stops, and lets the train hit his hands. The train does, as the passengers brutally get thrown forward, and the train slowly comes to a halt, almost falling down the bridge.]",The Incredibles
Dash: You’re gonna be toast! [He runs around the table],The Incredibles
Helen: Stop running in the house! You sit down!,The Incredibles
Violet: Trap! [She put a force field and Dash runs into it],The Incredibles
Helen: Violet [Violet craws under the table] OW! [Dash runs under the table] OW!,The Incredibles
[Dash runs back to his seat at the table],The Incredibles
Bob: You’re out of ice?! You can’t run out of ice! I thought you can use water in the air!,The Incredibles
"Lucius: There is no water in this air! What’s your excuse, run out of muscle?!",The Incredibles
[Bob turns to his side and begins to run with Lucius following him. They crash through the side of the building into the building next to them. A second outside shot of the burning building shows it collapse.],The Incredibles
Bob (Mr. Incredible) [gruntingly]: Yeah!,The Incredibles
"[The robot charges at him, as he leaps over. The robot unfortunately calculated his leaping arc, and that allowed it to swat him mid-air, slamming Mr. Incredible into another tree that topped onto the Omnidroid. But the robot rolled out of its way, and reformed. The robot curled up again to crush him, only for Mr. Incredible to dodge it, as it knocks down some trees before charging at him quickly. Mr. Incredible sprints his way off, but he almost gets crushed by the robot as he jumps over a cliff, slides on it, and lands.The Omnidroid arrives at a similar pace, as he recieves a boulder from our hero. The Omnidroid does the same 3 times, the latter hitting Mr. Incredible. It almost impales him unsuccessfully. Its claw is lodged in the cliff, as the hero runs for safety. The Omnidroid pulls its limb out of the cliff and leaped high into the air, intent on crushing Mr. Incredible, who leaped out of the way and landed in the lava fields. The Omnidroid lands and makes an attempt to push Mr. Incredible into the lava as he tried to push back. After a few seconds however, he lets out a scream while using his maximum strength and jerk-pulls the robot aside into the lava.]",The Incredibles
"[He then jack-knives, ripping the claw off its arms. He runs under the robot, as it uses his lower sensor cluster. Just as it spots its target, he rips it off, and climbs inside the robot, as it unintentionally starts damaging itself. After a while, it stops, weakened. Mr. Incredible punched off its upper sensor cluster, as it whistles while riding the robot. The robot tries to pull him out, but it accidentally tears its brainpan out. Mr. Incredible jumps out of the robot and casually walks away, as the Omnidroid motionlessly falls down.]",The Incredibles
[grunt],The Incredibles
"Helen (Mrs. Incredible): I’m counting on you. Be strong. Dash, if anything goes wrong, I want you to run as fast as you can.",The Incredibles
"[Helen stretches out her arm and punches both guards until one of the guards presses a button to shut the door, trapping Helen's arm. Helen feels around one guard's shoulder and torso, before reaching his face and punching him out, even with her arm trapped. Another guard two doors behind them notices the stuck leg and knows that something is up. Meanwhile, two more guards traveling on a saucer down the hall are unknowingly clotheslined by Helen's midsection. Those two guards collect themselves and aim their guns at her while the third guard just nudges the leg. Helen scoffs and then delivers one swift kick with the stuck leg, knocking that guard out and causing his gun to fire uncontrollably. One of those gunshots fire into the control panel, unlocking the door and freeing her leg, while in one swift motion, Helen nails both of the other guards into the door, knocking them out with her legs. Helen reaches the ID card in one guard's belt inside the door where her arm is trapped, reaches the control panel to open the door and free her arm. She then stretches out the arm to activate the other control panel, opening the door and freeing her. Helen then exhales and runs forward offscreen. Cut to outside the building as Helen loads the knocked-out guards into the inside of the building and closes the panel, locking them in.]",The Incredibles
"VIOLET: Dash, run!",The Incredibles
DASH: Oh yeah! (he runs away),The Incredibles
Helen (Mrs. Incredible): You didn’t want me to worry? And now we’re running for our lives through some godforsaken jungle!,The Incredibles
"Dash: Whatever you do, don’t stop! (he runs, moving the ball.)",The Incredibles
(Cut to HELEN and BOB who are run over by the kids),The Incredibles
"GUARD: Hey, look. Hey! Every time they run, you take a shot.",The Incredibles
Honey Best: Uh-uh! Don’t you think about running off doing no derrin’-do! We’ve been planning this dinner for two months!,The Incredibles
(A woman runs towards a carriage in the path of a piece of building),The Incredibles
Bob (Mr. Incredible): Not as cool as you running on water!,The Incredibles
"BOB/HELEN: Go, Dash, go! Go, go, go! Run, run! - Run, Dash! Run!",The Incredibles
"BOB: Come on, run! Pick up the pace! Move it, move it! Pace it! Slow down just a little bit! Don’t give up! Make it close!",The Incredibles
